status,unique_id,room_type_name,rate_plan_name,checkin_date,checkout_date,customer_first_name,customer_last_name,room_amount,ota_source,ota_res_id,occupancy,customer_email,customer_telephone,room_total,booking_total,currency,payment_type,payment_method,created_date,last_modified_date,cancelled_date
new,ABB-AIRBNB-1756386781155,Deluxe Room,Deluxe Rate,2025-08-29,2025-08-30,Prudnikov,Konstantin,1,Airbnb,AIRBNB-1756386781155,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,300.00,300.00,USD,N/A,N/A,2025-08-28T13:13:02.044313,N/A,N/A
new,ABB-AIRBNB-1756382435178,Standard Room,Standard Rate,2025-08-30,2025-09-02,Иван,Петров,1,Airbnb,AIRBNB-1756382435178,A:2 C:0 I:0,ivan.petrov@example.com,+7 (999) 123-45-67,300.00,300.00,USD,N/A,N/A,2025-08-28T12:00:36.067399,N/A,N/A
new,ABB-AIRBNB-TEST-BUNGALOW-1756379709776,Deluxe Room,Deluxe Rate,2025-09-11,2025-09-14,Emily,Johnson,1,Airbnb,AIRBNB-TEST-BUNGALOW-1756379709776,A:2 C:1 I:0,emily.johnson@airbnb-test.com,+1 555 987 6543,600.00,600.00,USD,N/A,N/A,2025-08-28T11:15:09.674344,N/A,N/A
new,ABB-AIRBNB-TEST-DOUBLE-1756379696828,Standard Room,Standard Rate,2025-09-04,2025-09-06,John,Smith,1,Airbnb,AIRBNB-TEST-DOUBLE-1756379696828,A:2 C:0 I:0,john.smith@airbnb-test.com,+1 555 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-28T11:15:09.253767,N/A,N/A
new,BDC-PMS-15cc2bbb-2d12-45f2-98d6-e4e3d4c546ab,Standard Room,Standard Rate,2025-09-03,2025-09-05,Pasquale99,Barrows99,1,Booking.com,PMS-15cc2bbb-2d12-45f2-98d6-e4e3d4c546ab,A:2 C:0 I:0,info@voda.center,546464,200.00,200.00,GBP,N/A,N/A,2025-08-28T10:45:28.921755,N/A,N/A
new,BDC-PMS-7b99a5f6-1ced-4485-9553-a10e5fd22d67,Standard Room,Standard Rate,2025-09-03,2025-09-05,Pasquale88,Barrows88,1,Booking.com,PMS-7b99a5f6-1ced-4485-9553-a10e5fd22d67,A:1 C:0 I:0,info@voda.center,0774850000,200.00,200.00,GBP,N/A,N/A,2025-08-28T09:08:58.056990,N/A,N/A
new,ABB-WEBHOOK-TEST-1756352282094,Standard Room,Standard Rate,2025-08-30,2025-08-31,Webhook,TestUser,1,Airbnb,WEBHOOK-TEST-1756352282094,A:2 C:0 I:0,webhook-test@airbnb.com,+1234567890,1.00,1.00,USD,N/A,N/A,2025-08-28T03:38:02.848815,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756327721039,Standard Room,Standard Rate,2025-09-05,2025-09-06,John2,Smith2,1,Airbnb,AIRBNB-airbnb-test-1756327721039,A:2 C:0 I:0,test@airbnb.com,+1 555 123 4567,120.00,120.00,USD,N/A,N/A,2025-08-27T20:48:41.094924,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756327529828,Standard Room,Standard Rate,2025-08-30,2025-09-02,John,Smith,1,Airbnb,AIRBNB-airbnb-test-1756327529828,A:2 C:0 I:0,test@airbnb.com,+1 555 123 4567,300.00,300.00,USD,N/A,N/A,2025-08-27T20:45:29.835290,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756327526842,Standard Room,Standard Rate,2025-08-30,2025-09-02,John,Smith,1,Airbnb,AIRBNB-airbnb-test-1756327526842,A:2 C:0 I:0,test@airbnb.com,+1 555 123 4567,300.00,300.00,USD,N/A,N/A,2025-08-27T20:45:27.088632,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756327285226,Standard Room,Standard Rate,2025-09-05,2025-09-06,Pasquale8,Barrows8,1,Airbnb,AIRBNB-airbnb-test-1756327285226,A:2 C:0 I:0,info@voda.center,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-27T20:41:25.451855,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756326726910,Standard Room,Standard Rate,2025-09-04,2025-09-06,Pasquale7,Barrows7,1,Airbnb,AIRBNB-airbnb-test-1756326726910,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,200.00,200.00,USD,N/A,N/A,2025-08-27T20:32:07.198404,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756326227288,Standard Room,Standard Rate,2025-09-03,2025-09-06,Pasquale6,Barrows6,1,Airbnb,AIRBNB-airbnb-test-1756326227288,A:2 C:0 I:0,info@voda.center,+94774850000,300.00,300.00,USD,N/A,N/A,2025-08-27T20:23:47.303914,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756325930242,Standard Room,Standard Rate,2025-09-02,2025-09-04,Pasquale4,Barrows4,1,Airbnb,AIRBNB-airbnb-test-1756325930242,A:2 C:0 I:0,info@voda.center,+94774850000,200.00,200.00,USD,N/A,N/A,2025-08-27T20:18:50.322895,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756323352784,Deluxe Room,Deluxe Rate,2025-09-01,2025-09-02,Pasquale3,Barrows3,1,Airbnb,AIRBNB-airbnb-test-1756323352784,A:2 C:0 I:0,info@voda.center,+94774850000,200.00,200.00,USD,N/A,N/A,2025-08-27T19:35:53.063925,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756321885185,Standard Room,Standard Rate,2025-08-31,2025-09-01,Pasquale2,Barrows2,1,Airbnb,AIRBNB-airbnb-test-1756321885185,A:2 C:0 I:0,info@voda.center,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-27T19:11:25.325776,N/A,N/A
new,ABB-AIRBNB-TEST-BUNGALOW-1756321714557,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-13,Emily,Johnson,1,Airbnb,AIRBNB-TEST-BUNGALOW-1756321714557,A:2 C:1 I:0,emily.johnson@airbnb-test.com,+1 555 987 6543,600.00,600.00,USD,N/A,N/A,2025-08-27T19:08:34.726704,N/A,N/A
new,ABB-AIRBNB-TEST-DOUBLE-1756321714019,Standard Room,Standard Rate,2025-09-03,2025-09-05,John,Smith,1,Airbnb,AIRBNB-TEST-DOUBLE-1756321714019,A:2 C:0 I:0,john.smith@airbnb-test.com,+1 555 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-27T19:08:34.538486,N/A,N/A
new,ABB-AIRBNB-airbnb-test-1756321268404,Standard Room,Standard Rate,2025-08-29,2025-08-30,Prudnikov,Konstantin,1,Airbnb,AIRBNB-airbnb-test-1756321268404,A:2 C:0 I:0,prudnik47@gmail.com,+94774850000,100.00,100.00,USD,N/A,N/A,2025-08-27T19:01:08.849419,N/A,N/A
new,ABB-AIRBNB-TEST-BUNGALOW-1756321137765,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-13,Emily,Johnson,1,Airbnb,AIRBNB-TEST-BUNGALOW-1756321137765,A:2 C:1 I:0,emily.johnson@airbnb-test.com,+1 555 987 6543,600.00,600.00,USD,N/A,N/A,2025-08-27T18:58:58.000982,N/A,N/A
new,ABB-AIRBNB-TEST-DOUBLE-1756321137152,Standard Room,Standard Rate,2025-09-03,2025-09-05,John,Smith,1,Airbnb,AIRBNB-TEST-DOUBLE-1756321137152,A:2 C:0 I:0,john.smith@airbnb-test.com,+1 555 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-27T18:58:57.742308,N/A,N/A
new,ABB-AIRBNB-TEST-BUNGALOW-1756312587518,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-13,Emily,Johnson,1,Airbnb,AIRBNB-TEST-BUNGALOW-1756312587518,A:2 C:1 I:0,emily.johnson@airbnb-test.com,+1 555 987 6543,600.00,600.00,USD,N/A,N/A,2025-08-27T16:36:27.641912,N/A,N/A
new,ABB-AIRBNB-TEST-DOUBLE-1756312586959,Standard Room,Standard Rate,2025-09-03,2025-09-05,John,Smith,1,Airbnb,AIRBNB-TEST-DOUBLE-1756312586959,A:2 C:0 I:0,john.smith@airbnb-test.com,+1 555 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-27T16:36:27.466961,N/A,N/A
new,AGO-AGODA-TEST-BUNGALOW-1756309967278,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-13,Maria,Ivanova,1,Agoda,AGODA-TEST-BUNGALOW-1756309967278,A:2 C:2 I:0,maria.ivanova@agoda-test.com,+7 999 876 5432,600.00,600.00,USD,N/A,N/A,2025-08-27T15:52:47.477452,N/A,N/A
new,AGO-AGODA-TEST-DOUBLE-1756309966749,Standard Room,Standard Rate,2025-09-03,2025-09-05,Ivan,Petrov,1,Agoda,AGODA-TEST-DOUBLE-1756309966749,A:2 C:0 I:0,ivan.petrov@agoda-test.com,+7 999 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-27T15:52:47.338583,N/A,N/A
new,AGO-AGODA-TEST-BUNGALOW-1756308788613,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-13,Maria,Ivanova,1,Agoda,AGODA-TEST-BUNGALOW-1756308788613,A:2 C:2 I:0,maria.ivanova@agoda-test.com,+7 999 876 5432,600.00,600.00,USD,N/A,N/A,2025-08-27T15:33:08.870917,N/A,N/A
new,AGO-AGODA-TEST-DOUBLE-1756308788008,Standard Room,Standard Rate,2025-09-03,2025-09-05,Ivan,Petrov,1,Agoda,AGODA-TEST-DOUBLE-1756308788008,A:2 C:0 I:0,ivan.petrov@agoda-test.com,+7 999 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-27T15:33:08.707233,N/A,N/A
new,AGO-AGODA-TEST-BUNGALOW-1756308669639,Deluxe Room,Deluxe Rate,2025-09-10,2025-09-13,Maria,Ivanova,1,Agoda,AGODA-TEST-BUNGALOW-1756308669639,A:2 C:2 I:0,maria.ivanova@agoda-test.com,+7 999 876 5432,600.00,600.00,USD,N/A,N/A,2025-08-27T15:31:09.914379,N/A,N/A
new,AGO-AGODA-TEST-DOUBLE-1756308669096,Standard Room,Standard Rate,2025-09-03,2025-09-05,Ivan,Petrov,1,Agoda,AGODA-TEST-DOUBLE-1756308669096,A:2 C:0 I:0,ivan.petrov@agoda-test.com,+7 999 123 4567,200.00,200.00,USD,N/A,N/A,2025-08-27T15:31:09.749243,N/A,N/A
new,BDC-PMS-d3857ac3-fe01-4aad-ab34-9939f8f7a4d7,Standard Room,Standard Rate,2025-09-06,2025-09-08,Pasquale,Barrows,1,Booking.com,PMS-d3857ac3-fe01-4aad-ab34-9939f8f7a4d7,A:1 C:0 I:0,info@voda.center,456456,200.00,200.00,GBP,N/A,N/A,2025-08-27T10:38:37.877830,N/A,N/A
new,BDC-BROWSER-TEST-1756291023130,Standard Room,Standard Rate,2025-09-01,2025-09-03,Browser,Test,1,Booking.com,BROWSER-TEST-1756291023130,A:1 C:0 I:0,browser.test@voda.center,N/A,200.00,200.00,GBP,N/A,N/A,2025-08-27T10:37:03.041847,N/A,N/A
new,BDC-PROD-TEST-1756290503437,Standard Room,Standard Rate,2025-09-01,2025-09-03,Production,Test,1,Booking.com,PROD-TEST-1756290503437,A:1 C:0 I:0,production.test@voda.center,N/A,200.00,200.00,GBP,N/A,N/A,2025-08-27T10:28:23.286115,N/A,N/A
new,BDC-PROD-TEST-1756289106388,Standard Room,Standard Rate,2025-09-01,2025-09-03,Production,Test,1,Booking.com,PROD-TEST-1756289106388,A:1 C:0 I:0,production.test@voda.center,N/A,200.00,200.00,GBP,N/A,N/A,2025-08-27T10:05:06.264635,N/A,N/A
new,BDC-PMS-0c6734ac-8759-445e-8d7c-1d606b03e485,Deluxe Room,Deluxe Rate,2025-09-04,2025-09-06,Pasquale,Barrows,1,Booking.com,PMS-0c6734ac-8759-445e-8d7c-1d606b03e485,A:1 C:0 I:0,prudnik47@gmail.com,434534,400.00,400.00,GBP,N/A,N/A,2025-08-27T09:54:30.268006,N/A,N/A
new,BDC-PMS-2275bbf8-1ff8-4b91-bb67-25d349362fac,Standard Room,Standard Rate,2025-09-04,2025-09-06,Prudnikov,Konstantin,1,Booking.com,PMS-2275bbf8-1ff8-4b91-bb67-25d349362fac,A:1 C:0 I:0,prudnik47@gmail.com,0774850000,200.00,200.00,GBP,N/A,N/A,2025-08-27T09:48:53.580375,N/A,N/A
new,BDC-PMS-201-TEST,Deluxe Room,Deluxe Rate,2025-08-29,2025-08-31,Jane,Doe,1,Booking.com,PMS-201-TEST,A:2 C:0 I:0,jane.doe@example.com,N/A,400.00,400.00,GBP,N/A,N/A,2025-08-27T09:14:37.831201,N/A,N/A
new,BDC-PMS-101-TEST,Standard Room,Standard Rate,2025-08-28,2025-08-30,John,Smith,1,Booking.com,PMS-101-TEST,A:1 C:0 I:0,john.smith@example.com,N/A,200.00,200.00,GBP,N/A,N/A,2025-08-27T09:14:37.658604,N/A,N/A
new,BDC-PMS-TEST-101,Deluxe Room,Deluxe Rate,2025-08-28,2025-08-30,John,Doe,1,Booking.com,PMS-TEST-101,A:1 C:0 I:0,john.doe@example.com,N/A,400.00,400.00,GBP,N/A,N/A,2025-08-27T08:43:14.861461,N/A,N/A
